язык,семья,ареал,p,t,k,b,d,g,сколько взрывных фонем,литература,комментарии
Javanese,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Júma,Tupí,South America,1,1,1,0,0,1,4,,
Jurúna,Tupí,South America,1,1,1,1,1,0,5,,
Kaapor,Tupí,South America,1,1,1,0,0,0,3,,
Kaingang,Macro-Ge,South America,1,1,1,0,0,0,3,,
Kaiwá,Tupí,South America,1,1,1,0,0,0,3,,
Kaliai,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Kalkatungu,Pama-Nyungan,Australia,1,1,1,0,0,0,3,not t -- but t̪,
Kallawaya,,South America,1,1,1,0,0,0,3,,
Kamayurá,Tupí,South America,1,1,1,0,0,0,3,,
Kambera,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Kanoé,Isolate,South America,1,1,1,0,0,0,3,,
Karadjeri,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Karajá,Macro-Ge,South America,0,0,1,1,1,0,3,,
Kariera,Pama-Nyungan,Australia,1,1,1,0,0,0,3,not t -- but t̪,
Karitiâna,Tupí,South America,1,1,1,0,0,0,3,,
Karo,Tupí,South America,1,1,1,1,0,1,5,,
Katukína,Katukinan,South America,1,1,1,1,1,0,5,,
Kaurna,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Kawaiisu,Uto-Aztecan,North America,1,0,1,1,0,0,3,,
Kawesqar,Alacalufan,South America,1,1,1,0,0,0,3,,
Kaxararí,Panoan,South America,1,1,1,0,0,0,3,,
Kaxuiâna,Carib,South America,1,1,1,0,0,0,3,,
Kayabí,Tupí,South America,1,1,1,0,0,1,4,,
Kayardild,Tangkic,Australia,1,1,1,0,0,0,3,,
Kaytej,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Kedayan,Austronesian,Papunesia,1,0,1,1,1,1,5,,
Ket,Yeniseian,Eurasia,0,1,1,1,1,0,4,,
Kinikinao,Arawak,South America,1,1,1,0,0,0,3,,
Kithaulhu,Nambiquaran,South America,1,1,1,0,0,0,3,,
Kitja,Jarrakan,Australia,1,1,1,0,0,0,3,,
Koiari,Koiarian,Papunesia,0,1,1,1,1,1,5,,
Kokama-Kokamilla,Tupí,South America,1,1,1,0,0,0,3,,
Koreguaje,Tucanoan,South America,1,1,1,0,0,0,3,,
Korubo,Panoan,South America,1,1,1,0,0,0,3,,
Krahô,Macro-Ge,South America,1,1,1,0,0,0,3,,
Krinkati-Timbira,Macro-Ge,South America,1,1,1,0,0,0,3,,
Kubeo,Tucanoan,South America,1,1,1,1,1,0,5,,
Kuikúro-Kalapálo,Carib,South America,1,1,1,0,1,0,4,,д палатализованный
Kuku-Yalanji,Pama-Nyungan,Australia,1,1,1,0,0,0,3,not t -- but t̪,
Kulina,Arawan,South America,1,1,1,1,1,0,5,,
Kunjen,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Kunza,Isolate,South America,1,1,1,1,0,0,4,,
Kuruáya,Tupí,South America,1,1,1,1,1,0,5,,
Kuuku Ya'u,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Kwaio,Austronesian,Papunesia,0,1,0,0,0,0,1,,
Kwoma,Sepik,Papunesia,0,1,1,0,0,0,2,,"+kʷ (только mb, nd, ŋɡ)"
Lamu-Lamu,Pama-Nyungan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Laragia,Isolate,Australia,1,1,1,0,0,0,3,,
Lardil,Tangkic,Australia,1,1,1,0,0,0,3,,
Latunde,Nambiquaran,South America,1,1,1,0,0,0,3,,
Lavukaleve,Isolate,Papunesia,0,1,0,1,1,0,3,,
Leco,Isolate,South America,1,1,1,1,1,0,5,,
Lenakel,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Leti,Austronesian,Papunesia,1,1,1,0,1,0,4,,
Limilngan,Limilngan-Wulna,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Linngithig,Pama-Nyungan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Lokono,Arawak,South America,1,1,1,1,1,0,5,,
Loniu,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Luiseno,Uto-Aztecan,North America,1,1,1,0,0,0,3,,
Lule,Isolate,South America,1,1,1,0,0,0,3,,
Lusi,Austronesian,Papunesia,1,0,1,0,0,0,2,,
Macaguán,Guahiban,South America,1,1,1,1,0,0,4,,
Macuna,Tucanoan,South America,0,1,1,1,1,1,5,,
Macushi,Carib,South America,1,1,1,0,0,0,3,,
Madimadi,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Madurese,Austronesian,Papunesia,1,1,1,1,1,1,6,t̪  d̪  ʈ  ɖ,
Mafea,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Maka,Mataco,South America,1,1,1,0,0,0,3,,
Mako,Salivan,South America,1,1,1,1,1,0,5,,
Makuráp,Tupí,South America,1,1,1,0,0,0,3,,
Mamaindé,Nambiquaran,South America,1,1,1,0,0,0,3,,
Manchinere,Arawak,South America,1,1,1,0,0,0,3,,
Mandan,Siouan,North America,1,1,1,0,0,0,3,,
Mangarrayi,Mangarrayi-Maran,Australia,1,1,1,0,0,0,3,,
Mantjiltjara,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Maori,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Mapoyo,Carib,South America,1,1,1,0,0,0,3,,
Mapudungun,Araucanian,South America,1,1,1,0,0,0,3,,
Mara,Mangarrayi-Maran,Australia,0,0,0,1,1,1,3,,
Maranao,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Maranungku,Western Daly,Australia,1,1,1,0,0,0,3,,
Margany,Pama-Nyungan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Maringarr,Western Daly,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Marrithiyel,Western Daly,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Martuthunira,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Matís,Panoan,South America,1,1,1,1,1,0,5,,
Matsés,Panoan,South America,1,1,1,1,1,0,5,,
Matsigenka,Arawak,South America,1,1,1,0,0,1,4,,
Maung,Iwaidjan Proper,Australia,1,1,1,0,0,0,3,,
Mawayana,Arawak,South America,0,1,1,0,0,0,2,ɗ,
Maxakalí,Macro-Ge,South America,1,1,1,0,0,0,3,,
Maybrat-Karon,Isolate,Papunesia,1,1,1,0,0,0,3,,
Mayi-Yapi,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Mbabaram,Pama-Nyungan,Australia,0,0,0,1,1,1,3,,
Mbyá,Tupí,South America,1,1,1,0,0,0,3,,
Mehináku,Arawak,South America,1,1,1,0,0,0,3,,
Mekeo,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Menominee,Algic,North America,1,1,1,0,0,0,3,,
MiamiIll,Algic,North America,1,1,1,0,0,0,3,,
Miriwung,Jarrakan,Australia,1,1,1,0,0,0,3,,
Miyako,Japonic,Eurasia,1,1,1,0,0,0,3,,
Mochica,Isolate,South America,1,1,1,0,0,0,3,,
Mocoví,Guaicuru,South America,1,1,1,0,1,0,4,,
Mohawk,Iroquoian,North America,0,1,1,0,0,0,2,,
Mor (Bomberai Peninsula),Isolate,Papunesia,0,0,1,0,0,0,1,,
Mosetén,Mosetenan,South America,1,1,1,1,1,0,5,,
Movima,Isolate,South America,1,1,1,0,0,0,3,ɗ,
Mudburra,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Muisca,Chibchan,South America,1,1,1,0,0,0,3,,
Mundurukú,Tupí,South America,1,1,1,1,1,0,5,,
Muniche,Isolate,South America,1,1,1,0,1,1,5,,
Murrinh-Patha,Southern Daly,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Muruwari,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Muylaq' Aymara,Aymaran,South America,1,1,1,0,0,0,3,,
Mwotlap,Austronesian,Papunesia,0,1,0,0,0,0,1,,
Mỹky,Isolate,South America,1,1,1,0,0,0,3,,
Nakkara,Maningrida,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Namia,Sepik,Papunesia,1,1,1,0,0,0,3,,
Nanti,Arawak,South America,1,1,1,1,0,1,5,,
Nasioi,South Bougainville,Papunesia,1,1,1,1,1,0,5,,
Naskapi,Algic,North America,1,1,1,0,0,0,3,,
Natügu,Austronesian,Papunesia,1,0,1,0,0,0,2,,
Ngaanyatjarra,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Ngad''a,Austronesian,Papunesia,1,1,1,1,0,1,5,,
Ngadjumaja,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Ngalakan,Gunwinyguan,Australia,1,1,1,0,0,0,3,,
Ngalkbun,Gunwinyguan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Ngandi,Gunwinyguan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Ngarinyman,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Ngarla,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Ngarluma,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Ngawun,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Ngiyambaa,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Nhanda,Pama-Nyungan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Nhandeva,Tupí,South America,1,1,1,0,0,1,4,dʒ nd mb,
Nheengatú,Tupí,South America,1,1,1,1,0,1,5,nd,
Nias,Austronesian,Papunesia,0,1,1,1,1,1,5,,
Nimboran,Nimboranic,Papunesia,1,1,1,1,1,1,6,,"not t,d - t̪, d̪"
Ninam of Ericó,Yanomam,South America,1,1,1,0,0,0,3,,
Niuean,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Nivaclé,Mataco,South America,1,1,1,0,0,0,3,,
Nomatsigenga,Arawak,South America,1,1,1,1,0,1,5,,
North Junín Quechua (San Pedro de Cajas dialect),Quechua,South America,1,1,1,0,0,1,4,,
North Junín Quechua (Tarma dialect),Quechua,South America,1,1,1,1,0,1,5,,
North Marquesan,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Northern Paiute,Uto-Aztecan,North America,1,1,1,0,0,0,3,,
Northern Puebla Nahuatl,Uto-Aztecan,North America,1,1,1,0,0,0,3,not t -- but t̪,
Nukini,Panoan,South America,1,1,1,1,0,0,4,,
Nunggubuyu,Gunwinyguan,Australia,1,1,1,0,0,0,3,,
Nyamal,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Nyangumarda,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Nyawaygi,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Nyigina,Nyulnyulan,Australia,1,1,1,0,0,0,3,,
Nyulnyul,Nyulnyulan,Australia,1,1,1,0,0,0,3,,
Nyungar,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Ocaina,Witotoan,South America,1,1,1,1,1,1,6,dz dʒ dʲ,
Ofayé,Macro-Ge,South America,0,1,1,0,1,1,4,,
Omagua,Tupí,South America,1,1,1,0,0,0,3,,
Omurano,Isolate,South America,1,1,0,1,0,0,3,,
Oneida,Iroquoian,North America,0,1,1,0,0,0,2,,
Onondaga,Iroquoian,North America,0,1,1,0,0,0,2,,
Oro Win,Chapakuran,South America,1,1,1,0,0,0,3,,
Paakantyi,Pama-Nyungan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Pacahuara,Panoan,South America,1,1,1,0,0,0,3,,
Páez,Isolate,South America,1,1,1,0,0,0,3,,
Pai Tavytera,Tupí,South America,1,1,1,0,0,0,3,,
Paiwan,Austronesian,Papunesia,1,0,1,1,0,1,4,,
Pakanha,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Palauan,Austronesian,Papunesia,0,1,1,1,1,0,4,,
Panamint,Uto-Aztecan,North America,1,1,1,0,0,0,3,,
Panará,Macro-Ge,South America,1,1,1,0,0,0,3,,
Panare,Carib,South America,1,1,1,0,0,0,3,,
Panobo,Panoan,South America,1,1,1,1,0,0,4,,
Panyjima,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Paraguayan Guaraní,Tupí,South America,1,1,1,0,0,0,3,mb	 ŋɡ nd,
Parakanã,Tupí,South America,1,1,1,0,0,0,3,,
Paraujano,Arawak,South America,1,1,1,0,0,0,3,,
Paresí,Arawak,South America,0,1,1,1,0,0,3,,
Parkateje,Macro-Ge,South America,1,1,1,0,0,0,3,,
Patep,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Pawnee,Caddoan,North America,1,1,1,0,0,0,3,,
Pemon,Carib,South America,1,1,1,0,0,0,3,,
Petats,Austronesian,Papunesia,1,1,1,1,0,1,5,,
Piapoco,Arawak,South America,1,1,1,1,1,0,5,,
Piaroa,Salivan,South America,1,1,1,1,1,0,5,,
Pilagá,Guaicuru,South America,1,1,1,0,1,1,5,,
Pintupi,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Pirahã,Mura,South America,1,1,1,1,0,1,5,,
Pitjantjatjara,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Pitta Pitta,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Pohnpeian,Austronesian,Papunesia,1,0,1,0,0,0,2,,
Poyanáwa,Panoan,South America,1,1,1,1,1,0,5,,
Puinave,Isolate,South America,1,1,1,0,0,0,3,,
Pungupungu,Isolate,Australia,1,1,1,0,0,0,3,,
Puquina,Quechua,South America,1,1,1,1,0,1,5,,
Puri,Macro-Ge,South America,1,1,1,1,0,0,4,,
Rapoisi,South Bougainville,Papunesia,1,1,1,0,0,0,3,,
Rarotongan,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Rembarnga,Gunwinyguan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Reyesano,Tacanan,South America,1,1,1,0,0,0,3,mb ɳɖʐ,
Rikbaktsa,Macro-Ge,South America,1,1,1,1,1,0,5,,
Ritharngu,Pama-Nyungan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Roro,Austronesian,Papunesia,1,1,1,1,0,0,4,,
Sabanê,Nambiquaran,South America,1,1,1,0,0,0,3,,
Sakirabiá,Tupí,South America,1,1,1,0,0,1,4,,
Samoan,Austronesian,Papunesia,1,0,1,0,0,0,2,,
San Martin Quechua,Quechua,South America,1,1,1,0,0,0,3,dʒ,
Sanömá of Kolulu,Yanomam,South America,1,1,1,0,0,0,3,,
Santiago del Estero Quechua,Quechua,South America,1,1,1,0,0,1,4,,
Sanumá,Yanomam,South America,1,1,1,0,0,0,3,,
Sápara,Zaparoan,South America,1,1,1,0,0,0,3,,
Satawalese,Austronesian,Papunesia,1,0,1,0,0,1,3,,
Sateré-Mawé,Tupí,South America,1,1,1,0,0,0,3,,
Savosavo,Isolate,Papunesia,1,1,1,0,0,0,3,,
Saynawa,Panoan,South America,1,1,1,1,0,0,4,,
Secoya,Tucanoan,South America,1,1,1,0,1,0,4,,
Seimat,Austronesian,Papunesia,1,0,1,0,0,0,2,,
Selaru,Austronesian,Papunesia,0,1,1,1,1,0,4,,
Selk'nam,Chon,South America,1,1,1,0,0,0,3,,
Seneca,Iroquoian,North America,0,1,1,0,0,0,2,,
Sentani,Sentanic,Papunesia,1,1,1,0,0,0,3,,
Shanenawa,Panoan,South America,1,1,1,0,0,0,3,,
Shawi,Cahuapanan,South America,1,1,1,0,0,0,3,,
Shawnee,Algic,North America,1,1,1,0,0,0,3,,
Shipibo,Panoan,South America,1,1,1,0,0,0,3,bβ ɖʐ,
Shiwilu,Cahuapanan,South America,1,1,1,0,0,0,3,,
Shuar,Jivaroan,South America,1,1,1,0,0,0,3,,
Siang,Austronesian,Papunesia,1,1,1,1,0,0,4,,
Sirionó,Tupí,South America,0,1,1,0,0,0,2,,
Sissano,Austronesian,Papunesia,0,0,0,1,0,0,1,,
Skou,Sko,Papunesia,1,1,1,1,0,0,4,,
South Efate,Austronesian,Papunesia,1,1,1,0,0,0,3,,
South Nuaulu,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Southern Yauyos Quechua,Quechua,South America,1,1,1,1,0,0,4,,
Sundanese,Austronesian,Papunesia,1,0,1,1,1,1,5,,
Suruahá,Arawak,South America,0,1,1,1,1,1,5,,
Suyá,Macro-Ge,South America,1,1,1,0,0,0,3,,
Tacana,Tacanan,South America,1,1,1,1,1,0,5,,
Tahitian,Austronesian,Papunesia,1,1,0,0,0,0,2,,
Tamambo,Austronesian,Papunesia,0,1,1,0,0,0,2,,
Tanimuca-Retuarã,Tucanoan,South America,1,1,1,1,1,0,5,,
Tapayuna,Macro-Ge,South America,0,1,1,0,0,0,2,,
Tapieté,Tupí,South America,1,1,1,0,0,0,3,mb nd ŋɡ,
Tapirapé,Tupí,South America,1,1,1,0,0,0,3,,
Taushiro,Isolate,South America,0,1,1,0,0,0,2,,
Tausug,Austronesian,Papunesia,1,0,1,1,1,1,5,,
Tembé,Tupí,South America,1,1,1,0,1,0,4,,
Tengger,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Tenharim,Tupí,South America,1,1,1,0,0,0,3,,
Terei,South Bougainville,Papunesia,1,1,1,0,0,1,4,,
Terêna,Arawak,South America,1,1,1,0,0,0,3,,
Tetum,Austronesian,Papunesia,1,0,1,1,0,0,3,,
Thaypan,Pama-Nyungan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Tifal,Trans New Guinea,Papunesia,0,1,1,1,1,0,4,,
Tigak,Austronesian,Papunesia,1,1,1,1,0,1,5,,
Tinputz,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Tiriyo,Carib,South America,1,1,1,0,0,0,3,,
Tiwi,Isolate,Australia,1,1,1,0,0,0,3,,
Toaripi,Eleman,Papunesia,1,1,1,0,0,0,3,,
Toba,Guaicuru,South America,1,1,1,0,0,1,4,,
Tohono O'odham,Uto-Aztecan,North America,1,1,1,0,0,0,3,,
Tonga,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Tongan,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Trinitario,Arawak,South America,1,1,1,0,0,0,3,,
Trió,Carib,South America,1,1,1,0,0,0,3,,
Trumai,Isolate,South America,1,1,1,0,0,0,3,,
Tsáfiki,Barbacoan,South America,1,1,1,1,1,0,5,,
Tsimané,Mosetenan,South America,1,1,1,1,1,0,5,,
Tsou,Austronesian,Papunesia,1,0,1,0,0,0,2,,
Tukang Besi North,Austronesian,Papunesia,1,1,1,1,0,1,5,,
Tunebo (Central dialect),Chibchan,South America,0,1,1,1,0,0,3,,
Tuparí,Tupí,South America,1,1,1,1,0,0,4,,
Tupinambá,Tupí,South America,1,1,1,1,0,0,4,,
Tuscarora,Iroquoian,North America,0,1,1,0,0,0,2,,
ukpa (de Irapa),Carib,South America,1,1,1,0,0,0,3,,
Umotína,Macro-Ge,South America,1,1,1,0,0,0,3,,
Umpila,Pama-Nyungan,Australia,1,1,1,0,0,0,3,not t -- but t̪,
Ungarinjin,Worrorran,Australia,1,1,1,0,0,0,3,,
Urarina,Isolate,South America,0,1,1,1,1,0,4,,
Uru,Uru-Chipaya,South America,1,1,1,0,0,0,3,,
Uru-Eu-Wau-Wau,Tupí,South America,1,1,1,0,0,0,3,,
Ute-Southern Paiute,Uto-Aztecan,North America,1,1,1,0,0,0,3,,
Vanimo,Sko,Papunesia,1,1,0,1,1,0,4,,+d̠
Wagiman,Isolate,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Waima,Austronesian,Papunesia,1,0,1,1,0,0,3,,
Waimiri-Atroarí,Carib,South America,1,1,1,1,1,0,5,,
Waiwai,Carib,South America,0,1,1,0,0,0,2,,
Walmatjari,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Wambaya,Mirndi,Australia,1,1,1,0,0,0,3,,
Wangkangurru,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Wangkumara,Pama-Nyungan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Wanman,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Wapichana,Arawak,South America,1,1,1,1,0,1,5,,
Warao,Isolate,South America,1,1,1,0,0,0,3,,
Waray (in Australia),Gunwinyguan,Australia,1,1,1,0,0,0,3,,
Wardaman,Yangmanic,Australia,1,1,1,0,0,0,3,,
Wari',Chapakuran,South America,1,1,1,0,0,0,3,,
Waris,Border,Papunesia,1,0,1,0,0,0,2,,
Warlpiri,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Warndarang,Mangarrayi-Maran,Australia,1,1,1,0,0,0,3,,
Warrgamay,Pama-Nyungan,Australia,1,1,1,0,0,0,3,not t -- but t̪,
Warrnambool,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Warrongo,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Warrwa,Nyulnyulan,Australia,1,1,1,0,0,0,3,,
Warumungu,Pama-Nyungan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Washkuk,Sepik,Papunesia,0,1,1,0,0,0,2,,"+kʷ (только mb, nd, ŋɡ)"
Wathawurrung,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Watjarri,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Waurá,Arawak,South America,1,1,1,0,0,0,3,,
Wayampi,Tupí,South America,1,1,1,0,0,0,3,,
Wayana,Carib,South America,1,1,1,0,0,0,3,,
Wayoró,Tupí,South America,1,1,1,0,0,1,4,,
Wayúu,Arawak,South America,1,1,1,0,0,0,3,,
Wembawemba,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Western Cham,Austronesian,Eurasia,1,1,1,1,1,0,5,,
Wichí (Mision la Paz dialect),Mataco,South America,1,1,1,0,0,0,3,,
Wichita,Caddoan,North America,0,1,1,0,0,0,2,,
Wik Munkan,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Wik Ngathana,Pama-Nyungan,Australia,1,1,1,0,0,0,3,not t -- but t̪,
Wogeo,Austronesian,Papunesia,0,0,1,1,0,1,3,,
Woiwurrung,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Worora,Worrorran,Australia,1,1,1,0,0,0,3,,
Xavánte,Macro-Ge,South America,1,1,0,1,1,0,4,,
Xerénte,Macro-Ge,South America,1,1,1,1,1,0,5,,
Xetá,Tupí,South America,1,1,1,0,0,0,3,,
Xipaya,Tupí,South America,1,1,1,1,1,0,5,,
Xiriâna,Arawak,South America,1,1,1,1,1,0,5,,
Xokleng,Macro-Ge,South America,1,1,1,0,0,0,3,есть /mb/ /ŋg/ /nd/,
Yaathe,Macro-Ge,South America,1,1,1,0,1,0,4,,
Yabarana,Carib,South America,1,1,1,0,0,0,3,,
Yagua,Peba-Yaguan,South America,1,1,1,0,0,0,3,,
Yahgan,Isolate,South America,1,1,1,0,0,0,3,,
Yalarnnga,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Yameo,Peba-Yaguan,South America,1,1,1,0,0,0,3,,
Yaminawa,Panoan,South America,1,1,1,0,0,0,3,,
Yankuntjatjara,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Yanomámi,Yanomam,South America,1,1,1,0,0,0,3,,
Yanomamö,Yanomam,South America,1,1,1,0,0,0,3,,
Yanyuwa,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Yapese,Austronesian,Papunesia,1,1,1,0,0,0,3,,
Yãroamë of Serra do Pacu/Ajarani,Yanomam,South America,1,1,1,0,0,0,3,,
Yawalapití,Arawak,South America,1,1,1,0,0,0,3,,
Yawanawa,Panoan,South America,1,1,1,0,0,0,3,,
Yawuru,Nyulnyulan,Australia,1,1,1,0,0,0,3,t̪  k͉  p͉,
Yaygir,Pama-Nyungan,Australia,1,1,1,0,0,0,3,not t -- but t̪,
Yekwana,Carib,South America,0,1,1,0,0,0,2,,
Yessan-Mayo,Sepik,Papunesia,0,1,1,0,0,0,2,,"глухие только аспирированные/лабиализованные (только mb, nd, ŋɡ)"
Yidiny,Pama-Nyungan,Australia,0,0,0,1,1,1,3,,
Yindjibarndi,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Yine,Arawak,South America,1,1,1,0,0,0,3,,
Yingkarta,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Yir Yoront,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Yora,Panoan,South America,1,1,1,0,0,0,3,,
Yorta Yorta,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Yucuna,Arawak,South America,1,1,1,0,0,0,3,,
Yukpa (Macoíta),Carib,South America,1,1,1,0,1,0,4,,
Yukulta,Tangkic,Australia,1,1,1,0,0,0,3,,
Yulparija,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,
Yurakaré,Isolate,South America,1,1,1,1,1,0,5,,
Yuwaalaraay,Pama-Nyungan,Australia,1,1,1,0,0,0,3,,